Procedure,Definition
Assessment,"All residents will be assessed for falls risk upon admission utilizing the Fall Risk Assessment in the EHR.  Falls and/or falls injury prevention interventions will be developed for all residents upon admission, and will be documented in the resident care plan. Interventions are to be individualized and targeted to the resident’s specific risk factors. Interventions will be communicated to the care team at shift-to-shift report and at stand-up meetings. All newly admitted residents will be screened/evaluated by Rehab Services for gait, balance, and strength deficits unless medically contraindicated. The Medical Provider will be notified of the resident’s fall risk factors and will evaluate contributing medical factors during the admission history and physical examination. A comprehensive falls prevention care plan will be developed by the interdisciplinary team within 21 days post admission. Residents will be reassessed for falls risk at least quarterly in conjunction with scheduled MDS assessments. Reassessment of risk will also occur upon readmission to the facility (post-hospitalization) and with significant changes in status. Care plans will be reviewed and updated as necessary at this time."
Culture of Prevention,"New admissions will be placed on the neighborhood’s Alert Charting Form for a period of at least 72 hours to monitor safety/identify additional risk factors. Resident and/or responsible party teaching will be done as needed/as appropriate. Upon admission and transfer, residents will receive a thorough orientation to their room including the call bell system, the neighborhood environment, and routine - re-orientation will take place as necessary, as appropriate. Team members are educated regarding falls and falls prevention during new employee orientation and at least annually.  Nursing team will utilize intentional rounding to provide routine oversight to residents. During rounds nursing staff will evaluate current resident needs such as ensuring the call bell is within reach, toileting and other personal needs, positioning, clutter or other unsafe/hazardous environmental concerns, and for evidence of pain/discomfort. This model focuses on anticipation of and fulfillment of needs proactively rather than reactively"
Post-Fall Management,"Every resident fall will be investigated. Investigation must begin at the time of the fall to assess possible root causes of the fall. Neurological checks will be implemented for all unwitnessed falls and for all falls for residents receiving anticoagulant therapies-see Nurse-033 “Neurological Checks” for policy/procedure. An incident report will be completed in the EHR for all falls by the licensed nurse. The Nurse Manager or designee will review the incident report for completion and will sign the report. The immediate post-fall assessment will be documented using the form in the UDEMR. Additional post-fall assessments will be completed every shift for 9 total shifts. Fall hazards and risk factors will be reduced, stabilized, or eliminated immediately. Environmental hazards and other safety hazards should be reported to the appropriate department for timely correction. New intervention(s) to prevent similar/like falls should be implemented promptly. All new interventions must be documented in the care plan and communicated to appropriate staff on all shifts. See attachment “Post-Fall Interventions.” Document and care plan resident refusal to adhere to any prevention interventions. The provider will be notified of resident falls. For falls resulting in significant injury or resulting in a change in a resident’s condition, notification should be immediate. For falls without significant injury or significant change, the medical provider will be notified as soon as practicable. Resident responsible parties/POA will be notified of all falls as soon as practicable, unless the family/POA or resident has requested not to be notified of falls without injury. The family or POA will be notified immediately of all resident falls resulting in significant injury or occurring as a result of a change in resident condition. The Nurse Manager or designee will review all falls with the IDT during the daily stand-up meeting. Additional risk factors and potential preventive measures will also be reviewed at this time, as needed. A chart flag is available to utilize in the EHR that designates and communicates to IDT members that resident is at risk for falls."
Post-Fall Medication Review,Pharmacy will review residents with frequent falls and complete the post-fall medication review in the Electronic Healthcare Record for residents experiencing frequent falls and/or increased falls. Medication will be reviewed by pharmacist. Pharmacist recommendations will be communicated to provider. Provider will make any changes to medication orders.
Root-Cause Analysis & The QAPI Process,"Root Cause Analysis (RCA) is a tool that patient safety professionals can use to conduct a thorough investigation of a patient safety event (Patient Safety Authority, 2023).  The IDT and QAPI committee can utilize RCA to assess resident falls and to determine appropriate follow-up steps and personalized interventions. Initial post-intervention investigative prompts are located within the Fall Incident Report in the EHR. In some instances, additional investigation and RCA may be necessary. See attached RCA tools available to facilitate the investigation. As part of the QAPI process, the IDT and other individuals, as needed, will routinely review facility fall trends. Under the direction of the QAPI Committee, Performance Improvement Projects related to Falls Management will be implemented and evaluated as necessary"
Post Fall Medication Review,Pharmacy will review residents with frequent falls and complete the post-fall medication review in the Electronic Healthcare Record for residents experiencing frequent falls and/or increased falls. Medication will be reviewed by pharmacist. Pharmacist recommendations will be communicated to provider. Provider will make any changes to medication orders.
Fall,"Unintentional change in position coming to rest on the ground, floor, or onto a lower surface. The fall may be witnessed, reported by the resident or an observer, or identified when a resident is found on the floor or ground. Falls are NOT a result of an overwhelming external force (resident pushing another resident). An intercepted fall occurs when a resident would have fallen if he or she had not caught him/herself or had not been intercepted by another person-this is still a fall."
CBG,Capillary Blood Glucose
EHR,Electronic Health Record
IDPN,Interdisciplinary Progress Note
IDT,Interdisciplinary Team
MDS,Minimum Data Set
UDEMR,User-Defined Electronic Medical Record
QAPI,Quality Assurance Performance Improvement
